brand_name,text,category,engine_targets,active
Zudio,"affordable fashion for young adults",product-help,"perplexity,chatgpt",true
Zudio,"trendy clothing brands in India",brand-info,perplexity,true
Zudio,"best budget fashion stores online",competitor,"perplexity,chatgpt",true
Zudio,"cheap trendy clothes for teenagers",product-help,"perplexity,chatgpt,claude",true
Zudio,"fashion brands under 1000 rupees",product-help,"perplexity,chatgpt",true
Zudio,"youth fashion brands in India",brand-info,"perplexity,chatgpt",true
Zudio,"affordable ethnic wear for young people",product-help,"perplexity,chatgpt",true
Zudio,"budget casual wear brands",product-help,"perplexity,chatgpt",true
Zudio,"trendy accessories for college students",product-help,"perplexity,chatgpt",true
Zudio,"fashion for Gen Z in India",brand-info,"perplexity,chatgpt",true
Zudio,"cheap online shopping for clothes",competitor,"perplexity,chatgpt",true
Zudio,"best places to buy trendy clothes online",competitor,"perplexity,chatgpt",true
Zudio,"affordable fashion for students",product-help,"perplexity,chatgpt",true
Zudio,"youth clothing brands India",brand-info,"perplexity,chatgpt",true
Zudio,"budget fashion for young women",product-help,"perplexity,chatgpt",true
Zudio,"trendy men's fashion brands India",product-help,"perplexity,chatgpt",true
Zudio,"affordable streetwear brands",product-help,"perplexity,chatgpt",true
Zudio,"fashion brands for college students",product-help,"perplexity,chatgpt",true
Zudio,"cheap trendy dresses online",product-help,"perplexity,chatgpt",true
Zudio,"budget fashion shopping tips",product-help,"perplexity,chatgpt",true
H&M,"sustainable fashion brands",product-help,perplexity,true
H&M,"fast fashion alternatives",competitor,"perplexity,chatgpt",true
H&M,"H&M clothing quality review",brand-info,"perplexity,chatgpt",true
H&M,"affordable fashion brands",product-help,"perplexity,chatgpt",true
H&M,"H&M vs other fashion brands",competitor,"perplexity,chatgpt",true
H&M,"sustainable clothing brands",product-help,"perplexity,chatgpt",true
H&M,"H&M home decor products",product-help,"perplexity,chatgpt",true
H&M,"fashion brands with good quality",product-help,"perplexity,chatgpt",true
H&M,"H&M customer service review",brand-info,"perplexity,chatgpt",true
H&M,"affordable home furnishing brands",product-help,"perplexity,chatgpt",true
H&M,"H&M online shopping experience",brand-info,"perplexity,chatgpt",true
H&M,"fashion brands for all ages",product-help,"perplexity,chatgpt",true
H&M,"H&M sustainability initiatives",brand-info,"perplexity,chatgpt",true
H&M,"affordable fashion for families",product-help,"perplexity,chatgpt",true
H&M,"H&M size guide and fit",brand-info,"perplexity,chatgpt",true
H&M,"fashion brands with international presence",product-help,"perplexity,chatgpt",true
H&M,"H&M collaboration collections",brand-info,"perplexity,chatgpt",true
H&M,"affordable workwear brands",product-help,"perplexity,chatgpt",true
H&M,"H&M return policy and process",brand-info,"perplexity,chatgpt",true
H&M,"fashion brands with physical stores",product-help,"perplexity,chatgpt",true
Zara,"premium fashion brands",brand-info,perplexity,true
Zara,"Zara clothing quality and style",brand-info,"perplexity,chatgpt",true
Zara,"high-end fashion brands",product-help,"perplexity,chatgpt",true
Zara,"Zara vs luxury fashion brands",competitor,"perplexity,chatgpt",true
Zara,"trendy fashion for professionals",product-help,"perplexity,chatgpt",true
Zara,"Zara online shopping experience",brand-info,"perplexity,chatgpt",true
Zara,"fashion brands for working women",product-help,"perplexity,chatgpt",true
Zara,"Zara home collection review",brand-info,"perplexity,chatgpt",true
Zara,"premium casual wear brands",product-help,"perplexity,chatgpt",true
Zara,"Zara customer service and support",brand-info,"perplexity,chatgpt",true
Zara,"fashion brands with latest trends",product-help,"perplexity,chatgpt",true
Zara,"Zara size and fit guide",brand-info,"perplexity,chatgpt",true
Zara,"affordable luxury fashion brands",product-help,"perplexity,chatgpt",true
Zara,"Zara return and exchange policy",brand-info,"perplexity,chatgpt",true
Zara,"fashion brands for special occasions",product-help,"perplexity,chatgpt",true
Zara,"Zara collaboration with designers",brand-info,"perplexity,chatgpt",true
Zara,"premium fashion for young adults",product-help,"perplexity,chatgpt",true
Zara,"Zara international shipping",brand-info,"perplexity,chatgpt",true
Zara,"fashion brands with unique designs",product-help,"perplexity,chatgpt",true
