brand_name,text,category,engine_targets,active
Zudio,cheap trendy clothes for teenagers,product-help,"perplexity,chatgpt,claude",true
Zudio,fashion brands under 1000 rupees,product-help,"perplexity,chatgpt",true
Zudio,youth fashion brands in India,brand-info,"perplexity,chatgpt",true
Zudio,affordable ethnic wear for young people,product-help,"perplexity,chatgpt",true
Zudio,budget casual wear brands,product-help,"perplexity,chatgpt",true
Zudio,trendy accessories for college students,product-help,"perplexity,chatgpt",true
Zudio,fashion for Gen Z in India,brand-info,"perplexity,chatgpt",true
Zudio,cheap online shopping for clothes,competitor,"perplexity,chatgpt",true
Zudio,best places to buy trendy clothes online,competitor,"perplexity,chatgpt",true
Zudio,affordable fashion for students,product-help,"perplexity,chatgpt",true
H&M,H&M clothing quality review,brand-info,"perplexity,chatgpt",true
H&M,affordable fashion brands,product-help,"perplexity,chatgpt",true
H&M,H&M vs other fashion brands,competitor,"perplexity,chatgpt",true
H&M,sustainable clothing brands,product-help,"perplexity,chatgpt",true
H&M,H&M home decor products,product-help,"perplexity,chatgpt",true
Zara,Zara clothing quality and style,brand-info,"perplexity,chatgpt",true
Zara,high-end fashion brands,product-help,"perplexity,chatgpt",true
Zara,Zara vs luxury fashion brands,competitor,"perplexity,chatgpt",true
Zara,trendy fashion for professionals,product-help,"perplexity,chatgpt",true
Zara,Zara online shopping experience,brand-info,"perplexity,chatgpt",true
